intersection_id,latitude,longitude,notes
marin_x_columbus,40.71903560484528,-74.04140838345309,
warrex_x_columbus,40.718242727709644,-74.03883950355309,
washington_x_columbus,40.71773539884336,-74.03721042954933,
greene_x_columbus,40.71731431186333,-74.03562312383413,
hudson_x_columbus,40.71707370243393,-74.03394155011124,
columbus_terminus_east,40.71704569704898,-74.03276609285268,
marin_x_montgomery,40.71733235065938,-74.04237108136222,
warren_x_montgomery,40.716998945405386,-74.03907733352125,
washington_x_montgomery,40.71680174981818,-74.03739022096678,
greene_x_montgomery,40.71660861831996,-74.03572456994353,
hudson_x_montgomery,40.71642768437368,-74.03407500887884,
exchange_terminus_east,40.71611765282588,-74.03310539058467,
marin_x_york,40.71659235106308,-74.04249445966782,
van_vorst_x_york,40.71640735316395,-74.04086636215452,
warren_x_york,40.71623455031622,-74.03921009798589,
washington_x_york,40.71603836717379,-74.03754846913687,
greene_x_york,40.715844216429694,-74.03582783266037,
hudson_x_york,40.71566937898973,-74.03431640826008,
york_terminus_east,40.715535200904185, -74.03308125134491,
marin_x_grand,40.71585233904296,-74.04268141350757,
van_vorst_x_grand,40.71567172234279,-74.04102510688539,
warren_x_grand,40.715463230345414,-74.03938645210148,
washington_x_grand,40.715301564841354,-74.03769631289727,
greene_x_grand,40.71509307167957,-74.03596057456252,
hudson_x_grand,40.71493140616624,-74.03445871870287,
grand_terminus_east,40.714799842954086,-74.03340697925802,
marin_x_sussex,40.71513351903294,-74.0428244992347,
sussex_terminus_west_of_van_vorst,40.71500950167161,-74.04181062835472,
van_vorst_x_sussex,40.71493491777355,-74.04116999669496,
warren_x_sussex,40.7147564700126,-74.03952877874673,
washington_x_sussex,40.714566010406074,-74.03784228578975,
green_x_sussex,40.71436733630753,-74.03611023057752,
hudson_x_sussex,40.714202023934455,-74.03461246234552,
sussex_terminus_east,40.714090057795204,-74.03354777689415,
marin_x_morris,40.71442594958365,-74.04297267853289,
van_vorst_x_morris,40.71422819706416,-74.04129795015265,
warrex_x_morris,40.71404789330943,-74.03966350758148,
washington_x_morris,40.71385741033278,-74.03798877816698,
greene_x_morris,40.71365529338801,-74.03627760221927,
hudson_x_morris,40.713492436528924,-74.03478128142936,
van_vorst_x_essex,40.713558855449655,-74.04144756353413,
warren_x_essex,40.713345614804986,-74.03979861457847,
washington_x_essex,40.713151051139064,-74.03812913041995,
greene_x_essex,40.71301096506173,-74.03642268236656,
hudson_x_essex,40.71283974832292,-74.03485381669802,
van_vorst_x_dudley,40.71286309518562,-74.0416138940813,
warren_x_dudley,40.712646738888644,-74.0399423568215,
washington_x_dudley,40.71244594702485,-74.03829135393218,
warren_terminus_south,40.71146221392649,-74.04018056236002,
washington_terminus_south,40.711155571868694,-74.03840429435635,
hudson_terminus_south,40.71243816472636,-74.03489283418612,
marin_x_park_view,40.71365064117798,-74.04313593851388,
marin_x_south,40.712872754861756,-74.04329474040914,
marin_terminus_south,40.711811978954415,-74.04347491937752
